"","X","region","population","sex","age","education","income","statusquo","vote"
"460",460,"C",250000,"M",50,"S",75000,0.53491,"Y"
"461",461,"C",250000,"F",28,"S",75000,-1.27876,"N"
"462",462,"C",250000,"M",65,"P",2500,1.47262,"Y"
"463",463,"C",250000,"M",30,"P",7500,1.1925,"U"
"464",464,"C",250000,"F",22,"S",7500,-1.33198,"N"
"465",465,"C",250000,"F",69,"S",75000,0.73645,"U"
"466",466,"C",250000,"M",33,"PS",75000,-1.29617,"N"
"467",467,"C",250000,"F",36,"S",7500,0.2074,"A"
"468",468,"C",250000,"M",67,"S",35000,-1.29617,"N"
"469",469,"C",250000,"F",70,"P",35000,-1.29617,"N"
"470",470,"C",250000,"F",30,"S",15000,-1.29617,"N"
"471",471,"C",250000,"M",58,"S",15000,1.09519,"Y"
"472",472,"C",250000,"F",25,"S",35000,-0.65599,"N"
"473",473,"C",250000,"F",42,"S",15000,-0.85881,"N"
"474",474,"C",250000,"M",65,"S",35000,-1.29617,"N"
"475",475,"C",250000,"M",24,"PS",15000,-1.03486,"N"
"476",476,"C",250000,"F",19,"P",7500,0.4159,"Y"
"477",477,"C",250000,"M",23,"S",35000,-0.75072,"N"
"478",478,"C",250000,"M",39,"P",35000,-1.29617,"N"
"479",479,"C",250000,"F",37,"P",15000,-1.00723,"Y"
"480",480,"C",250000,"F",22,"P",15000,0.03479,"Y"
"481",481,"C",250000,"M",25,"S",7500,0.04881,"U"
"482",482,"C",250000,"F",31,"P",35000,0.54258,"U"
"483",483,"C",250000,"F",42,"S",35000,1.23905,"U"
"484",484,"C",250000,"F",27,"S",35000,0.58567,"U"
"485",485,"C",250000,"M",70,"P",35000,-0.69434,"N"
"486",486,"C",250000,"F",22,"P",35000,-1.1824,"N"
"487",487,"C",250000,"F",47,"P",35000,0.127,"Y"
"488",488,"C",250000,"M",22,"S",35000,-1.07569,"N"
"489",489,"C",250000,"M",58,"PS",125000,-0.64344,"N"
"490",490,"C",250000,"M",20,"S",75000,-0.98357,"U"
"491",491,"C",250000,"M",31,"S",35000,-1.15421,"N"
"492",492,"C",250000,"F",65,"P",35000,0.04406,"U"
"493",493,"C",250000,"F",23,"S",35000,1.30163,"Y"
"494",494,"C",250000,"M",39,"PS",75000,0.86302,"Y"
"495",495,"C",250000,"M",27,"S",35000,0.87325,"Y"
"496",496,"C",250000,"M",63,"S",35000,-0.84928,"N"
"497",497,"C",250000,"F",57,"P",35000,-1.0169,"U"
"498",498,"C",250000,"F",48,"S",15000,0.27927,"A"
"499",499,"C",250000,"F",19,"S",75000,0.14576,"A"
"500",500,"C",250000,"M",27,"PS",200000,-0.22146,"Y"
"501",501,"C",250000,"M",62,"P",15000,-1.29617,"N"
"502",502,"C",250000,"M",19,"S",2500,-1.22301,"N"
"503",503,"C",250000,"M",18,"S",2500,-1.30351,"Y"
"504",504,"C",250000,"F",34,"S",7500,-1.25795,"N"
"505",505,"C",250000,"F",39,"P",75000,1.50846,"Y"
"506",506,"C",250000,"F",26,"PS",35000,-0.97459,"N"
"507",507,"C",250000,"M",28,"PS",35000,-0.27603,"A"
"508",508,"C",250000,"M",59,"PS",200000,0.84207,"Y"
"509",509,"C",250000,"F",53,"PS",15000,1.38659,"Y"
"510",510,"C",250000,"F",26,"PS",125000,-0.8109,"N"
"511",511,"C",250000,"F",56,"P",7500,-1.29617,"N"
"512",512,"C",250000,"F",27,"S",35000,1.34452,"Y"
"513",513,"C",250000,"M",65,"P",2500,-1.17732,"N"
"514",514,"C",250000,"F",63,"P",15000,-1.29617,"N"
"515",515,"C",250000,"M",29,"P",7500,-1.29617,"N"
"516",516,"C",250000,"F",37,"PS",35000,-1.29617,"N"
"517",517,"C",250000,"F",32,"S",200000,1.23437,"Y"
"518",518,"C",250000,"M",25,"S",125000,-0.80253,"N"
"519",519,"C",250000,"M",70,"S",75000,1.39831,"Y"
"520",520,"C",250000,"M",60,"S",200000,1.3094,"Y"
"521",521,"C",250000,"M",48,"S",200000,-0.54021,"N"
"522",522,"C",250000,"F",70,"S",35000,-0.13432,"U"
"523",523,"C",250000,"F",22,"PS",75000,-1.06935,"N"
"524",524,"C",250000,"F",30,"PS",35000,-0.1658,"Y"
"525",525,"C",250000,"M",31,"PS",75000,1.13365,"Y"
"526",526,"C",250000,"M",28,"S",15000,-0.32557,"U"
"527",527,"C",250000,"F",45,"S",35000,-0.90844,"N"
"528",528,"C",250000,"F",70,"S",35000,-1.19739,"N"
"529",529,"C",250000,"F",23,"PS",200000,-1.1886,"N"
"530",530,"C",250000,"M",20,"PS",75000,-0.12758,"U"
"531",531,"C",250000,"M",52,"S",15000,0.29255,"U"
"532",532,"C",250000,"M",65,"PS",35000,1.5877,"Y"
"533",533,"C",250000,"F",37,"S",7500,-1.29629,"N"
"534",534,"C",250000,"M",24,"S",75000,-0.68517,"N"
"535",535,"C",250000,"F",18,"S",15000,-1.25795,"N"
"536",536,"C",250000,"M",41,"P",2500,-1.29617,"N"
"537",537,"C",250000,"F",28,"S",15000,-1.25795,"N"
"538",538,"C",250000,"F",19,"S",15000,-0.08274,"Y"
"539",539,"C",250000,"M",21,"S",35000,-0.92488,"A"
"540",540,"C",250000,"F",36,"P",15000,-1.29617,"U"
"541",541,"C",8750,"F",27,"S",7500,0.3505,"U"
"542",542,"C",8750,"F",40,"S",15000,0.80306,"Y"
"543",543,"C",8750,"M",25,"S",35000,-0.9788,"U"
"544",544,"C",8750,"F",69,"P",7500,1.32322,"Y"
"545",545,"C",8750,"M",70,"P",200000,0.51325,"Y"
"546",546,"C",8750,"M",39,"P",2500,-0.86279,"U"
"547",547,"C",8750,"M",70,"P",7500,0.35125,"U"
"548",548,"C",8750,"M",34,"P",15000,1.5877,"Y"
"549",549,"C",8750,"F",24,"P",15000,1.12054,"Y"
"550",550,"C",8750,"F",40,"P",2500,1.2206,"U"
"551",551,"C",8750,"M",35,"P",15000,-0.21059,"N"
"552",552,"C",8750,"F",53,"P",35000,1.29609,"Y"
"553",553,"C",8750,"M",31,"S",35000,1.48693,"Y"
"554",554,"C",8750,"M",62,"P",75000,-1.14049,"N"
"555",555,"C",8750,"F",33,"S",2500,-0.81005,"A"
"556",556,"C",8750,"M",20,"S",75000,-0.08662,"N"
"557",557,"C",8750,"M",61,"P",75000,0.08005,"U"
"558",558,"C",8750,"F",20,"PS",35000,-0.88127,"N"
"559",559,"C",8750,"F",50,"P",2500,-1.13456,"N"
"561",561,"C",125000,"F",36,"S",35000,-1.18401,"N"
"562",562,"C",125000,"M",63,"P",75000,-0.34932,"Y"
"563",563,"C",125000,"M",59,"S",125000,1.33168,"Y"
"564",564,"C",125000,"M",25,"PS",75000,-0.04547,"N"
"565",565,"C",125000,"F",23,"S",35000,0.58791,"Y"
"566",566,"C",125000,"M",21,"PS",75000,-1.14049,"N"
"567",567,"C",125000,"F",34,"S",125000,-0.8795,"A"
"568",568,"C",125000,"F",58,"S",200000,1.21521,"Y"
"569",569,"C",125000,"M",41,"S",75000,-0.55437,"N"
"570",570,"C",125000,"F",19,"S",75000,1.01503,"U"
"571",571,"C",125000,"F",54,"P",15000,-0.5497,"N"
"572",572,"C",125000,"F",20,"P",15000,1.13325,"U"
"573",573,"C",125000,"M",29,"S",75000,-1.03701,"N"
"574",574,"C",125000,"M",63,"S",35000,-0.26969,"N"
"575",575,"C",125000,"F",65,"P",7500,-1.28897,"U"
"576",576,"C",125000,"M",30,"S",15000,-0.76805,"A"
"577",577,"C",125000,"F",59,"P",15000,1.00672,"Y"
"578",578,"C",125000,"F",29,"S",35000,1.06426,"A"
"579",579,"C",125000,"M",44,"P",15000,-0.13466,"N"
"580",580,"C",125000,"F",32,"S",35000,-0.18149,"N"
"581",581,"C",62500,"F",25,"P",2500,-1.29617,"N"
"582",582,"C",62500,"F",38,"S",35000,0.76091,"Y"
"583",583,"C",62500,"M",19,"S",75000,0.28186,"A"
"584",584,"C",62500,"F",29,"P",15000,0.00293,"Y"
"585",585,"C",62500,"M",40,"P",7500,1.43009,"Y"
"586",586,"C",62500,"M",48,"S",15000,-0.09579,"Y"
"587",587,"C",62500,"F",21,"S",15000,-0.56194,"Y"
"588",588,"C",62500,"M",27,"P",15000,1.5877,"Y"
"589",589,"C",62500,"F",66,"P",35000,1.40283,"Y"
"590",590,"C",62500,"M",36,"P",7500,-1.29617,"N"
"591",591,"C",62500,"M",38,"PS",7500,-1.22503,"N"
"593",593,"C",62500,"F",18,"P",7500,1.43653,"Y"
"594",594,"C",62500,"F",40,"P",7500,-1.09176,"U"
"595",595,"C",62500,"F",53,"P",2500,-1.29617,"N"
"596",596,"C",62500,"M",23,"S",15000,-0.60929,"N"
"597",597,"C",62500,"M",60,"P",15000,1.19498,"Y"
"598",598,"C",62500,"F",24,"P",75000,0.98906,"A"
"599",599,"C",62500,"M",26,"P",15000,0.85118,"U"
"600",600,"C",62500,"F",53,"P",15000,-1.29617,"N"
"601",601,"C",175000,"F",39,"S",35000,1.24709,"Y"
"602",602,"C",175000,"F",19,"S",15000,-0.66475,"Y"
"603",603,"C",175000,"M",33,"S",15000,-1.22285,"N"
"604",604,"C",175000,"F",21,"PS",35000,-1.29293,"A"
"605",605,"C",175000,"M",39,"S",35000,-0.5387,"A"
"606",606,"C",175000,"F",30,"P",15000,-0.26213,"U"
"608",608,"C",175000,"M",37,"S",35000,1.43793,"Y"
"609",609,"C",175000,"F",38,"P",2500,-1.21695,"N"
"610",610,"C",175000,"F",46,"P",2500,1.54808,"Y"
"611",611,"C",175000,"M",21,"S",75000,0.90752,"Y"
"612",612,"C",175000,"F",35,"S",200000,-1.00723,"N"
"613",613,"C",175000,"F",64,"S",75000,-1.27876,"N"
"614",614,"C",175000,"M",33,"PS",125000,-1.25795,"N"
"615",615,"C",175000,"M",48,"S",75000,0.73356,"U"
"616",616,"C",175000,"F",55,"P",2500,1.46184,"U"
"617",617,"C",175000,"F",27,"S",7500,-0.49793,"A"
"618",618,"C",175000,"M",22,"S",35000,-1.05257,"N"
"619",619,"C",175000,"M",36,"S",15000,-0.6507,"N"
"620",620,"C",175000,"M",49,"P",15000,-0.13599,"U"
"621",621,"C",175000,"M",29,"PS",35000,0.6494,"A"
"622",622,"C",175000,"F",24,"S",7500,-0.98901,"N"
"623",623,"C",175000,"M",30,"P",15000,-1.17312,"N"
"625",625,"C",175000,"F",46,"P",15000,0.97835,"Y"
"626",626,"C",175000,"M",18,"S",15000,-0.79884,"N"
"627",627,"C",175000,"F",24,"S",15000,0.26893,"A"
"628",628,"C",175000,"F",56,"P",15000,1.51126,"Y"
"629",629,"C",175000,"F",20,"S",15000,0.75833,"Y"
"630",630,"C",175000,"M",40,"S",125000,1.38337,"Y"
"631",631,"C",175000,"F",18,"PS",15000,-1.07377,"N"
"632",632,"C",175000,"M",31,"PS",125000,0.14096,"U"
"633",633,"C",175000,"F",36,"S",35000,0.92806,"U"
"634",634,"C",175000,"F",39,"S",75000,0.51058,"U"
"635",635,"C",175000,"M",44,"S",2500,0.47079,"U"
"636",636,"C",175000,"F",29,"S",35000,1.11235,"Y"
"637",637,"C",175000,"M",30,"P",15000,-0.69377,"N"
"638",638,"C",175000,"F",50,"P",15000,-0.93468,"U"
"639",639,"C",175000,"M",66,"P",7500,0.55558,"Y"
"640",640,"C",175000,"M",64,"P",15000,0.7835,"Y"
"641",641,"C",15000,"F",54,"PS",75000,1.30775,"Y"
"643",643,"C",15000,"M",25,"P",15000,-0.27405,"U"
"644",644,"C",15000,"M",54,"S",35000,0.96337,"Y"
"646",646,"C",15000,"M",18,"PS",35000,-0.72698,"N"
"647",647,"C",15000,"F",24,"S",35000,0.82449,"A"
"648",648,"C",15000,"F",23,"S",35000,1.28602,"Y"
"649",649,"C",15000,"F",38,"S",7500,0.19175,"N"
"650",650,"C",15000,"M",36,"S",15000,-1.11878,"N"
"651",651,"C",15000,"F",33,"S",35000,1.47024,"Y"
"652",652,"C",15000,"F",37,"PS",35000,1.34591,"Y"
"653",653,"C",15000,"M",57,"S",75000,-0.29196,"U"
"654",654,"C",15000,"M",38,"P",15000,-0.56775,"N"
"655",655,"C",15000,"M",34,"S",35000,-1.21974,"N"
"656",656,"C",15000,"F",39,"P",7500,1.5877,"Y"
"657",657,"C",15000,"F",59,"P",35000,0.49301,"U"
"658",658,"C",15000,"M",29,"S",15000,-1.22876,"A"
"659",659,"C",15000,"M",70,"P",15000,1.5877,"Y"
"660",660,"C",15000,"F",34,"PS",35000,0.01279,"N"
"661",661,"C",15000,"F",30,"S",35000,1.07897,"Y"
"662",662,"C",15000,"M",35,"PS",15000,-0.97431,"N"
"663",663,"C",15000,"F",27,"S",35000,1.32855,"U"
"666",666,"C",15000,"F",31,"S",2500,-0.92695,"N"
"667",667,"C",15000,"M",34,"S",35000,-0.70263,"N"
"668",668,"C",15000,"F",67,"P",15000,0.94646,"U"
"669",669,"C",15000,"M",61,"P",15000,0.56632,"U"
"670",670,"C",15000,"M",59,"P",15000,-1.14049,"N"
"672",672,"C",15000,"M",44,"P",7500,0.89793,"Y"
"673",673,"C",15000,"F",33,"P",7500,1.24161,"Y"
"674",674,"C",15000,"M",34,"P",7500,-0.54032,"A"
"675",675,"C",15000,"M",22,"P",15000,-1.22503,"N"
"677",677,"C",15000,"M",43,"P",75000,1.56817,"Y"
"680",680,"C",15000,"M",68,"S",2500,-1.29617,"A"
"681",681,"C",15000,"F",40,"P",2500,0.39304,"A"
"683",683,"C",15000,"M",55,"P",15000,0.32051,"U"
"685",685,"C",15000,"M",22,"S",15000,-0.40299,"N"
"686",686,"C",15000,"M",64,"P",7500,1.33395,"U"
"687",687,"C",15000,"M",22,"S",7500,-1.29617,"N"
"688",688,"C",15000,"M",30,"P",7500,-1.29617,"N"
"689",689,"C",15000,"F",21,"S",7500,0.40932,"U"
"690",690,"C",15000,"F",37,"P",7500,1.48894,"Y"
"691",691,"C",15000,"F",38,"S",35000,1.51326,"Y"
"692",692,"C",15000,"M",34,"S",7500,-1.14579,"N"
"693",693,"C",15000,"F",30,"S",35000,-1.30485,"N"
"694",694,"C",15000,"M",60,"P",7500,0.90604,"Y"
"695",695,"C",15000,"M",45,"P",15000,0.81951,"Y"
"696",696,"C",15000,"M",42,"P",7500,1.0111,"N"
"697",697,"C",15000,"F",60,"P",35000,-0.92728,"U"
"698",698,"C",15000,"F",22,"S",35000,1.11308,"A"
"699",699,"C",15000,"M",23,"S",7500,0.12472,"U"
"700",700,"C",15000,"M",20,"PS",15000,-1.0234,"N"
"703",703,"C",45000,"F",60,"P",2500,1.5877,"Y"
"706",706,"C",45000,"M",53,"P",2500,-1.29617,"N"
"708",708,"C",45000,"F",30,"P",7500,0.97,"U"
"709",709,"C",45000,"F",58,"P",15000,1.50846,"Y"
"710",710,"C",45000,"M",28,"S",7500,-0.6341,"Y"
"711",711,"C",45000,"F",42,"P",35000,0.1921,"U"
"712",712,"C",45000,"M",40,"PS",35000,1.44322,"Y"
"713",713,"C",45000,"M",66,"P",15000,1.29875,"U"
"714",714,"C",45000,"M",28,"S",7500,-1.01171,"A"
"715",715,"C",45000,"F",60,"P",15000,-0.62453,"Y"
"716",716,"C",45000,"F",30,"S",15000,-1.21873,"N"
"717",717,"C",45000,"M",24,"P",15000,-1.29617,"N"
"718",718,"C",45000,"M",63,"PS",75000,-0.98189,"N"
"719",719,"C",45000,"F",25,"PS",35000,1.40361,"Y"
"721",721,"C",25000,"F",49,"P",7500,-0.612,"U"
"722",722,"C",25000,"F",25,"P",15000,0.84305,"Y"
"723",723,"C",25000,"F",37,"S",35000,0.63836,"U"
"724",724,"C",25000,"M",19,"S",75000,0.06239,"N"
"725",725,"C",25000,"M",53,"S",35000,1.33246,"Y"
"727",727,"C",25000,"F",37,"S",35000,0.16682,"U"
"729",729,"C",25000,"M",44,"S",35000,0.87593,"Y"
"730",730,"C",25000,"M",31,"S",75000,0.16466,"U"
"731",731,"C",25000,"F",29,"S",35000,0.03032,"U"
"732",732,"C",25000,"F",21,"P",7500,0.78563,"A"
"733",733,"C",25000,"F",58,"P",7500,1.68665,"Y"
"734",734,"C",25000,"M",22,"P",15000,-1.26325,"N"
"735",735,"C",25000,"M",68,"P",2500,-0.80882,"N"
"736",736,"C",25000,"F",47,"PS",15000,-0.67532,"U"
"737",737,"C",25000,"F",30,"P",15000,1.41999,"Y"
"738",738,"C",25000,"M",21,"P",15000,-1.06433,"N"
"739",739,"C",25000,"M",50,"S",35000,0.24274,"U"
"740",740,"C",25000,"M",38,"PS",35000,-0.75159,"N"
"741",741,"C",87500,"F",19,"S",7500,-0.96542,"U"
"742",742,"C",87500,"F",60,"P",15000,-0.16861,"N"
"743",743,"C",87500,"M",64,"P",7500,0.60565,"U"
"744",744,"C",87500,"M",25,"P",35000,0.36082,"A"
"745",745,"C",87500,"F",60,"P",15000,0.1327,"U"
"746",746,"C",87500,"M",27,"PS",75000,-0.73188,"N"
"747",747,"C",87500,"M",26,"PS",35000,-1.14103,"N"
"748",748,"C",87500,"F",23,"PS",35000,-0.96823,"N"
"749",749,"C",87500,"F",60,"P",35000,1.03942,"Y"
"750",750,"C",87500,"M",52,"PS",75000,-1.29617,"N"
"751",751,"C",87500,"F",45,"PS",35000,0.32782,"Y"
"752",752,"C",87500,"F",23,"P",15000,-0.52933,"U"
"754",754,"C",87500,"M",43,"P",15000,-1.11878,"N"
"755",755,"C",87500,"M",35,"PS",75000,-1.29617,"N"
"756",756,"C",87500,"F",22,"P",2500,1.3924,"Y"
"757",757,"C",87500,"M",22,"P",15000,-0.80408,"N"
"758",758,"C",87500,"F",51,"P",2500,1.47157,"Y"
"759",759,"C",87500,"M",42,"P",15000,0.27852,"U"
"760",760,"C",87500,"M",44,"P",15000,-1.01069,"U"
"761",761,"C",175000,"F",37,"PS",35000,-1.05333,"N"
"764",764,"C",175000,"M",40,"PS",35000,-0.12877,"N"
"765",765,"C",175000,"F",19,"S",7500,0.13374,"U"
"766",766,"C",175000,"F",28,"S",7500,-1.11442,"U"
"767",767,"C",175000,"M",49,"P",15000,-1.19148,"N"
"768",768,"C",175000,"M",55,"P",15000,-0.55326,"N"
"769",769,"C",175000,"M",24,"P",15000,-1.25986,"N"
"770",770,"C",175000,"F",44,"S",7500,-1.15622,"U"
"771",771,"C",175000,"M",20,"S",15000,0.27435,"A"
"772",772,"C",175000,"F",40,"PS",75000,0.79492,"U"
"775",775,"C",175000,"M",49,"PS",200000,-1.21834,"N"
"776",776,"C",175000,"F",53,"S",15000,1.5877,"Y"
"777",777,"C",175000,"F",20,"P",2500,1.1384,"Y"
"778",778,"C",175000,"M",20,"S",15000,0.29898,"Y"
"779",779,"C",175000,"F",27,"PS",35000,-1.18011,"N"
"780",780,"C",175000,"M",36,"PS",75000,-0.70445,"N"
"781",781,"C",175000,"F",18,"S",75000,0.98417,"A"
"782",782,"C",175000,"M",50,"P",15000,-1.29617,"N"
"783",783,"C",175000,"F",40,"P",15000,-1.29617,"N"
"784",784,"C",175000,"M",21,"S",75000,-1.29617,"N"
"785",785,"C",175000,"M",43,"P",15000,-1.29617,"N"
"786",786,"C",175000,"F",23,"S",7500,-0.81291,"A"
"787",787,"C",175000,"F",39,"P",7500,1.5877,"Y"
"789",789,"C",175000,"M",54,"S",35000,1.21952,"U"
"790",790,"C",175000,"M",22,"S",35000,0.74317,"Y"
"791",791,"C",175000,"F",42,"P",15000,-1.29617,"N"
"792",792,"C",175000,"M",18,"S",75000,0.90886,"A"
"793",793,"C",175000,"F",20,"P",35000,-1.14456,"N"
"794",794,"C",175000,"F",29,"S",15000,0.91463,"Y"
"795",795,"C",175000,"M",40,"P",35000,0.78439,"U"
"796",796,"C",175000,"F",60,"P",7500,-1.15225,"N"
"797",797,"C",175000,"F",35,"P",15000,0.9464,"Y"
"798",798,"C",175000,"M",39,"P",7500,0.42314,"U"
"799",799,"C",175000,"M",26,"S",15000,-0.79157,"N"
"801",801,"C",175000,"M",19,"PS",35000,0.35572,"Y"
"802",802,"C",175000,"F",47,"P",15000,-0.32176,"U"
"803",803,"C",175000,"F",23,"S",7500,-0.7989,"A"
"804",804,"C",175000,"F",45,"P",7500,0.44717,"Y"
"805",805,"C",175000,"M",52,"P",15000,1.22444,"U"
"807",807,"C",175000,"F",28,"PS",125000,0.06371,"Y"
"808",808,"C",175000,"M",39,"PS",200000,-0.19457,"N"
"809",809,"C",175000,"F",41,"PS",75000,1.41116,"Y"
"810",810,"C",175000,"M",30,"S",15000,-0.61942,"U"
"811",811,"C",175000,"F",32,"S",15000,-0.99973,"N"
"812",812,"C",175000,"M",29,"S",35000,-1.07308,"N"
"813",813,"C",175000,"M",31,"PS",35000,-0.7163,"N"
"815",815,"C",175000,"F",42,"PS",35000,-1.00592,"N"
"816",816,"C",175000,"F",25,"S",15000,-0.97034,"U"
"817",817,"C",175000,"F",58,"P",7500,0.06874,"U"
"819",819,"C",175000,"M",28,"S",75000,-0.99275,"N"
"820",820,"C",175000,"M",40,"P",15000,-0.08067,"U"
"821",821,"C",25000,"F",29,"P",7500,-0.78136,"U"
"822",822,"C",25000,"F",54,"P",7500,0.26943,"U"
"823",823,"C",25000,"M",33,"P",15000,1.17576,"U"
"824",824,"C",25000,"F",37,"P",15000,1.47615,"Y"
"825",825,"C",25000,"M",54,"P",7500,0.96198,"Y"
"826",826,"C",25000,"M",65,"P",15000,0.79963,"Y"
"827",827,"C",25000,"F",29,"S",15000,-0.39404,"U"
"828",828,"C",25000,"M",19,"S",35000,-0.73973,"N"
"829",829,"C",25000,"M",26,"PS",35000,-1.08349,"N"
"830",830,"C",25000,"F",45,"P",15000,1.56861,"Y"
"833",833,"C",25000,"F",34,"S",15000,-0.92196,"U"
"834",834,"C",25000,"M",39,"P",7500,-1.29617,"N"
"835",835,"C",25000,"M",36,"P",7500,0.80323,"Y"
"836",836,"C",25000,"M",47,"S",15000,0.29779,"Y"
"837",837,"C",25000,"F",30,"P",7500,0.24277,"U"
"838",838,"C",25000,"F",59,"P",15000,1.5877,"Y"
"839",839,"C",25000,"M",26,"PS",15000,-0.01365,"U"
"842",842,"C",62500,"M",52,"P",2500,-0.9757,"N"
"843",843,"C",62500,"F",21,"P",15000,0.63187,"U"
"844",844,"C",62500,"M",19,"PS",75000,-0.64524,"N"
"845",845,"C",62500,"F",20,"S",35000,0.81443,"Y"
"846",846,"C",62500,"M",20,"S",7500,0.71902,"Y"
"847",847,"C",62500,"F",47,"P",15000,0.35864,"Y"
"848",848,"C",62500,"F",25,"S",15000,-1.08876,"N"
"849",849,"C",62500,"M",42,"S",15000,1.09242,"Y"
"850",850,"C",62500,"M",40,"P",35000,1.43653,"Y"
"851",851,"C",62500,"F",29,"PS",75000,-0.83828,"N"
"852",852,"C",62500,"F",58,"P",15000,0.32249,"A"
"853",853,"C",62500,"M",40,"PS",35000,-0.54836,"N"
"854",854,"C",62500,"M",27,"PS",35000,-1.25795,"N"
"855",855,"C",62500,"F",38,"S",75000,0.04945,"Y"
"856",856,"C",62500,"F",30,"S",35000,0.78044,"U"
"857",857,"C",62500,"F",45,"P",35000,-1.25861,"N"
"858",858,"C",62500,"M",21,"S",15000,0.0958,"U"
"859",859,"C",62500,"M",25,"S",35000,-1.00739,"N"
"860",860,"C",62500,"M",50,"P",15000,-0.82423,"N"
"861",861,"C",15000,"M",28,"P",7500,1.55041,"U"
"862",862,"C",15000,"F",24,"S",15000,1.21971,"U"
"864",864,"C",15000,"F",65,"S",15000,0.25733,"Y"
"865",865,"C",15000,"M",42,"S",7500,-0.82337,"N"
"866",866,"C",15000,"F",48,"P",15000,0.57449,"Y"
"867",867,"C",15000,"F",25,"P",15000,0.71863,"U"
"869",869,"C",15000,"M",46,"S",35000,-0.2559,"N"
"870",870,"C",15000,"M",44,"P",35000,-0.25763,"U"
"871",871,"C",15000,"M",23,"P",15000,0.41138,"A"
"872",872,"C",15000,"M",48,"P",7500,1.00124,"Y"
"873",873,"C",15000,"M",29,"P",7500,1.28046,"Y"
"875",875,"C",15000,"F",18,"P",2500,-0.76832,"Y"
"876",876,"C",15000,"M",23,"S",7500,0.02383,"Y"
"877",877,"C",15000,"M",70,"P",7500,-1.29617,"N"
"878",878,"C",15000,"F",30,"S",7500,1.31961,"U"
"879",879,"C",15000,"F",46,"P",2500,0.69169,"Y"
"880",880,"C",15000,"M",70,"P",7500,1.3601,"Y"
"881",881,"C",25000,"F",69,"P",7500,1.32047,"Y"
"882",882,"C",25000,"M",56,"P",7500,1.4702,"U"
"883",883,"C",25000,"M",22,"P",7500,1.35787,"Y"
"885",885,"C",25000,"M",34,"S",15000,0.39928,"U"
"886",886,"C",25000,"F",19,"S",15000,0.90219,"U"
"887",887,"C",25000,"F",20,"P",35000,1.08088,"Y"
"888",888,"C",25000,"M",29,"S",35000,0.65511,"U"
"889",889,"C",25000,"F",46,"P",2500,0.75797,"Y"
"890",890,"C",25000,"M",61,"P",2500,1.47615,"Y"
"891",891,"C",25000,"M",65,"P",15000,0.6589,"U"
"892",892,"C",25000,"F",41,"P",7500,1.4045,"Y"
"893",893,"C",25000,"M",18,"P",2500,-1.22876,"N"
"894",894,"C",25000,"M",50,"P",7500,1.45616,"Y"
"895",895,"C",25000,"F",28,"S",15000,1.55465,"Y"
"896",896,"C",25000,"F",19,"S",7500,1.50229,"Y"
"897",897,"C",25000,"M",27,"S",15000,0.58726,"A"
"898",898,"C",25000,"F",39,"P",7500,0.76371,"U"
"899",899,"C",25000,"M",70,"P",7500,1.04827,"U"
"900",900,"C",25000,"F",45,"P",7500,0.40629,"U"
"902",902,"C",25000,"F",32,"P",7500,1.5877,"Y"
"903",903,"C",25000,"M",22,"S",15000,-0.95379,"N"
"904",904,"C",25000,"F",60,"P",7500,1.5877,"Y"
"905",905,"C",25000,"M",64,"P",7500,1.43653,"Y"
"907",907,"C",25000,"F",30,"S",35000,0.68807,"Y"
"910",910,"C",25000,"M",24,"PS",15000,-1.19137,"N"
"911",911,"C",25000,"F",21,"P",15000,1.33829,"Y"
"912",912,"C",25000,"F",49,"S",7500,1.35481,"Y"
"914",914,"C",25000,"M",54,"P",15000,0.9338,"U"
"915",915,"C",25000,"M",24,"P",15000,-1.22258,"N"
"916",916,"C",25000,"M",18,"S",75000,-0.88064,"N"
"917",917,"C",25000,"M",62,"P",35000,1.55678,"U"
"918",918,"C",25000,"F",44,"P",7500,0.91033,"U"
"919",919,"C",25000,"F",18,"S",35000,0.34316,"Y"
"920",920,"C",25000,"M",27,"P",35000,-0.02385,"Y"
"921",921,"S",125000,"M",18,"S",15000,1.29424,"Y"
"922",922,"S",125000,"M",44,"P",2500,-1.29617,"N"
"923",923,"S",125000,"F",31,"PS",15000,-1.29617,"N"
"924",924,"S",125000,"F",58,"S",35000,-1.29617,"N"
"925",925,"S",125000,"M",68,"P",7500,-1.29617,"N"
"926",926,"S",125000,"F",47,"P",7500,1.54802,"Y"
"928",928,"S",125000,"F",22,"P",7500,0.5492,"Y"
"929",929,"S",125000,"M",40,"PS",75000,1.43203,"Y"
"930",930,"S",125000,"M",35,"P",2500,1.17367,"Y"
"931",931,"S",125000,"M",65,"S",15000,1.1643,"Y"
"932",932,"S",125000,"M",35,"P",15000,0.85852,"U"
"933",933,"S",125000,"F",18,"P",7500,1.26956,"Y"
"934",934,"S",125000,"F",66,"S",15000,0.40663,"A"
"935",935,"S",125000,"F",22,"S",7500,0.96938,"Y"
"936",936,"S",125000,"M",23,"S",15000,-0.73957,"N"
"937",937,"S",125000,"M",60,"P",2500,0.6589,"U"
"939",939,"S",125000,"M",21,"P",2500,1.25084,"Y"
"940",940,"S",125000,"F",54,"P",15000,0.69887,"Y"
"941",941,"S",45000,"M",40,"P",75000,0.46287,"U"
"942",942,"S",45000,"F",19,"S",15000,0.81279,"U"
"943",943,"S",45000,"M",32,"P",75000,0.99576,"U"
